Name,Symbol,Mint Address,CoinGecko ID,Current Price (USD),Market Cap (USD),Total Volume (USD),Price Change 24h (%),Launch Date,Categories,DEX Volume (USD),DEX Liquidity (USD)
USD Coin,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,usd-coin,0.999977,60205135756.0,10514733751.0,0.00191,,"Stablecoins, USD Stablecoin, Solana Ecosystem, Avalanche Ecosystem, Polygon Ecosystem, Near Protocol Ecosystem, Arbitrum Ecosystem, Celo Ecosystem, Ethereum Ecosystem, Algorand Ecosystem, Optimism Ecosystem, Aptos Ecosystem, ZkSync Ecosystem, Sui Ecosystem, Base Ecosystem, Tron Ecosystem, Hedera Ecosystem, Stellar Ecosystem, Fiat-backed Stablecoin, World Liberty Financial Portfolio, Made in USA, Unichain Ecosystem","{'m5': '916891.601453129', 'm15': '1725496.46285856', 'm30': '2275715.53845732', 'h1': '3271553.84791001', 'h6': '27412616.8600308', 'h24': '130534303.377308'}",
Wrapped SOL,SOL,So11111111111111111111111111111111111111112,wrapped-solana,132.07,0.0,1139073190.0,-1.2106,,"Crypto-Backed Tokens, Wrapped-Tokens, Solana Ecosystem","{'m5': '978188.988093308', 'm15': '2108253.93408355', 'm30': '3049849.52557069', 'h1': '5067150.53987945', 'h6': '58938620.4802177', 'h24': '291603238.236283'}",
USDT,USDT,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,tether,0.99995,144566507038.0,29486021845.0,0.01056,,"Stablecoins, USD Stablecoin, Solana Ecosystem, Avalanche Ecosystem, Near Protocol Ecosystem, Celo Ecosystem, Ethereum Ecosystem, Aptos Ecosystem, FTX Holdings, TON Ecosystem, Tron Ecosystem, Kava Ecosystem, Fiat-backed Stablecoin, World Liberty Financial Portfolio","{'m5': '906498.16978859', 'm15': '3226608.14056137', 'm30': '3577330.80485553', 'h1': '5203119.85343438', 'h6': '21532398.71623', 'h24': '88623328.1918234'}",
Fartcoin,Fartcoin,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,fartcoin,0.91173,909416334.0,472494692.0,4.523,,"Solana Ecosystem, Meme, Solana Meme, AI Meme, Pump.fun Ecosystem, Terminal of Truths, Binance Alpha Spotlight","{'m5': '161360.01496968', 'm15': '395393.15259502', 'm30': '841235.198371036', 'h1': '1747807.78269708', 'h6': '24388788.3296625', 'h24': '99767118.5137495'}",
Jito Staked SOL,JitoSOL,J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,jito-staked-sol,157.84,0.0,29487862.0,-0.92519,,"Solana Ecosystem, Liquid Staking Tokens, Neon Ecosystem, Liquid Staked SOL, Liquid Staking","{'m5': '28183.6905024245', 'm15': '143999.001162505', 'm30': '399650.24700956', 'h1': '676351.526342313', 'h6': '1661676.53384311', 'h24': '7111518.71523897'}",
Jupiter Perps,JLP,27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,jupiter-perpetuals-liquidity-provider-token,3.82,1382733733.0,39668706.0,-0.55138,,"Decentralized Finance (DeFi), LP Tokens, Solana Ecosystem","{'m5': '104371.386731874', 'm15': '310516.958121439', 'm30': '615830.62941467', 'h1': '1306228.58204322', 'h6': '5761959.57179721', 'h24': '18581588.3146066'}",
EURC,EURC,HzwqbKZw8HxMN6bF2yFZNrht3c2iXXzpKcFu7uBEDKtr,euro-coin,1.13,212080036.0,66685394.0,-0.57276,,"Stablecoins, EUR Stablecoin, Solana Ecosystem, Avalanche Ecosystem, Ethereum Ecosystem, Base Ecosystem, Stellar Ecosystem","{'m5': '28212.9660845302', 'm15': '90860.9019106487', 'm30': '255018.081655151', 'h1': '491749.818118506', 'h6': '3225282.70340817', 'h24': '14177153.3586315'}",
OFFICIAL TRUMP,TRUMP,6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,official-trump,7.94,1586929614.0,410197026.0,-5.72856,,"Solana Ecosystem, Meme, Solana Meme, PolitiFi, Made in USA","{'m5': '272616.982643143', 'm15': '730442.141189314', 'm30': '1719212.62752657', 'h1': '1947802.58355551', 'h6': '14269650.6196519', 'h24': '84887564.5804666'}",
Popcat,POPCAT,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,popcat,0.248284,242660521.0,173938157.0,-7.80446,,"Solana Ecosystem, Meme, Solana Meme, Cat-Themed, Murad Picks","{'m5': '25464.3452763662', 'm15': '29584.7795662603', 'm30': '51684.6751741812', 'h1': '73181.5008494771', 'h6': '958342.527218987', 'h24': '4667601.51610973'}",
Wrapped BTC (Portal),WBTC,3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,wrapped-btc-wormhole,85310.0,0.0,40184931.0,0.55878,,"Crypto-Backed Tokens, Wrapped-Tokens, Solana Ecosystem, Polygon Ecosystem, Wormhole Assets, Sui Ecosystem, Neon Ecosystem, Terra Classic Ecosystem, Oasis Emerald Ecosystem, Bridged-Tokens","{'m5': '0.0', 'm15': '0.0', 'm30': '0.0', 'h1': '33887.600516047', 'h6': '3715306.33856057', 'h24': '16338462.0811199'}",
Coinbase Wrapped BTC,cbBTC,cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,coinbase-wrapped-btc,85554.0,3170842860.0,271162738.0,0.79998,,"Crypto-Backed Tokens, Tokenized BTC, Wrapped-Tokens, Solana Ecosystem, Arbitrum Ecosystem, Ethereum Ecosystem, Base Ecosystem","{'m5': '401825.941460998', 'm15': '740096.365575828', 'm30': '960657.23956765', 'h1': '1868447.89760113', 'h6': '19094408.9528316', 'h24': '90996997.3069937'}",
Ether (Portal),ETH,7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,ethereum-wormhole,1631.55,0.0,10154384.0,-2.70264,,"BNB Chain Ecosystem, Solana Ecosystem, Avalanche Ecosystem, Polygon Ecosystem, Wormhole Assets, Aptos Ecosystem, Sui Ecosystem, Terra Classic Ecosystem, Oasis Emerald Ecosystem, Bridged-Tokens","{'m5': '180140.451692093', 'm15': '677925.082821471', 'm30': '1239946.82587392', 'h1': '2164658.57585064', 'h6': '34498007.8369373', 'h24': '102510399.411768'}",
Jupiter,JUP,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,jupiter-exchange-solana,0.380742,1081725381.0,54467180.0,-2.40156,,"Decentralized Exchange (DEX), Decentralized Finance (DeFi), Solana Ecosystem, GMCI DeFi Index, Dex Aggregator, GMCI Index, Made in USA","{'m5': '20919.6263388695', 'm15': '214018.009873901', 'm30': '522455.633556215', 'h1': '1216530.6007477', 'h6': '5731961.26927335', 'h24': '18567371.9212877'}",
Jupiter Staked SOL,JupSOL,jupSoLaHXQiZZTSfEWMTRRgpnyFm8f6sZdosWBjx93v,jupiter-staked-sol,145.51,634927601.0,7210274.0,-1.00322,,"Solana Ecosystem, Liquid Staking Tokens, Liquid Staked SOL, Liquid Staking","{'m5': '0.0', 'm15': '1473.240526744', 'm30': '2157.4437193587', 'h1': '18290.8349215337', 'h6': '1385894.71866769', 'h24': '5650102.7980371'}",
Marinade staked SOL (mSOL),mSOL,mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,msol,169.59,603784197.0,8796430.0,-1.17351,,"Decentralized Finance (DeFi), Solana Ecosystem, Liquid Staking Tokens, Liquid Staked SOL, Liquid Staking","{'m5': '6024.961967783', 'm15': '8120.8884701441', 'm30': '15055.4404304114', 'h1': '28851.6831119629', 'h6': '2922554.96744454', 'h24': '5128294.96942841'}",
Retard Finder Coin,RFC,C3DwDjT17gDvvCYC2nsdGHxDHVmQRdhKfpAdqQ29pump,retard-finder-coin,0.092537,89736896.0,55755422.0,-19.38599,,"Solana Ecosystem, Meme, Pump.fun Ecosystem","{'m5': '28634.4790662238', 'm15': '67381.7975381699', 'm30': '103314.999792328', 'h1': '456504.447540132', 'h6': '3098741.91747497', 'h24': '10836547.4152662'}",
USDS,USDS,USDSwr9ApdHk5bvJKMjzff41FfuX8bSxdKcR81vTwcA,usds,1.0,7309551890.0,13457739.0,0.00796,,"Stablecoins, USD Stablecoin, Solana Ecosystem, Arbitrum Ecosystem, Ethereum Ecosystem, Fiat-backed Stablecoin","{'m5': '0.0', 'm15': '24.9644761662', 'm30': '24.9644761662', 'h1': '673.789860905', 'h6': '63870.7400301029', 'h24': '3743945.21918429'}",
titcoin,titcoin,FtUEW73K6vEYHfbkfpdBZfWpxgQar2HipGdbutEhpump,titcoin-2,0.01456923,14052105.0,9602599.0,-18.02735,,"Solana Ecosystem, Meme, Solana Meme, Pump.fun Ecosystem","{'m5': '8043.9876038953', 'm15': '22850.9678071873', 'm30': '37599.734583094', 'h1': '76239.7215960399', 'h6': '1125578.3944228', 'h24': '5719228.73133623'}",
